Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8412978893797307
Decision Tree,0.7409510290986515,0.5077186963979416,0.7914438502673797,0.6185997910135841,0.8289906740034616
Random Forest,0.765791341376863,0.5521327014218009,0.6229946524064172,0.585427135678392,0.8217585057738509
Gradient Boosting,0.8062455642299503,0.6735395189003437,0.5240641711229946,0.5894736842105263,0.8433620088351547
XGBoost,0.7892122072391767,0.6262295081967213,0.5106951871657754,0.5625920471281296,0.8371619003332558
